Sl.no,Species_common_name,Species_scientific_name,lat,lon,Month,Year,Source,Comments,name_combined,Source_type
514,Blue_whale,Balaenoptera musculus,24.19282267,67.11219676,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
515,Blue_whale,Balaenoptera musculus,24.05645581,67.2463281,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
516,Blue_whale,Balaenoptera musculus,23.73901164,66.98030094,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
517,Blue_whale,Balaenoptera musculus,23.53781463,66.93335497,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
518,Blue_whale,Balaenoptera musculus,23.78595761,67.25303466,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
519,Blue_whale,Balaenoptera musculus,23.61158687,67.37822391,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
520,Blue_whale,Balaenoptera musculus,23.56016985,67.20832422,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
521,Blue_whale,Balaenoptera musculus,23.45286478,67.16584929,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
522,Blue_whale,Balaenoptera musculus,23.46851344,67.51235525,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
523,Blue_whale,Balaenoptera musculus,23.66076836,67.536946,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
524,Blue_whale,Balaenoptera musculus,23.75913134,67.52353286,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
525,Blue_whale,Balaenoptera musculus,23.6652394,67.49000003,,Multiple,Ibrahim et al 2021,,Blue_whale,Publication
526,Bryde's_whale,Balaenoptera brydei,25.25246026,65.14046606,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
527,Bryde's_whale,Balaenoptera brydei,24.62427848,65.41319978,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
528,Bryde's_whale,Balaenoptera brydei,24.45437879,65.56074426,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
529,Bryde's_whale,Balaenoptera brydei,24.68016654,66.43483349,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
530,Bryde's_whale,Balaenoptera brydei,24.63769162,66.83946303,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
531,Bryde's_whale,Balaenoptera brydei,24.26883043,67.0160693,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
532,Bryde's_whale,Balaenoptera brydei,24.19282267,66.60473319,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
533,Bryde's_whale,Balaenoptera brydei,23.89102716,66.51531229,,Multiple,Ibrahim et al 2021,,Bryde's_whale,Publication
534,Humpback_whale,Megaptera novaeangliae,24.99537519,62.4775398,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
535,Humpback_whale,Megaptera novaeangliae,24.81876893,62.58484487,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
536,Humpback_whale,Megaptera novaeangliae,24.52367998,63.86579917,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
537,Humpback_whale,Megaptera novaeangliae,23.97597701,64.23689588,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
538,Humpback_whale,Megaptera novaeangliae,24.80200251,64.39226468,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
539,Humpback_whale,Megaptera novaeangliae,25.05908758,64.59569721,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
540,Humpback_whale,Megaptera novaeangliae,25.09262041,64.72088646,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
541,Humpback_whale,Megaptera novaeangliae,25.05461653,64.82372049,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
542,Humpback_whale,Megaptera novaeangliae,24.98084429,64.75218377,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
543,Humpback_whale,Megaptera novaeangliae,24.87577474,64.72982855,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
544,Humpback_whale,Megaptera novaeangliae,24.37725326,64.78795213,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
545,Humpback_whale,Megaptera novaeangliae,24.67010669,65.0047978,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
546,Humpback_whale,Megaptera novaeangliae,24.95848907,65.19928824,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
547,Humpback_whale,Megaptera novaeangliae,24.50467804,65.30435779,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
548,Humpback_whale,Megaptera novaeangliae,23.86755417,65.1456357,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
549,Humpback_whale,Megaptera novaeangliae,25.31393712,65.20264152,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
550,Humpback_whale,Megaptera novaeangliae,25.34076339,65.56479614,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
551,Humpback_whale,Megaptera novaeangliae,25.31840817,65.79729046,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
552,Humpback_whale,Megaptera novaeangliae,25.24910697,65.70339853,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
553,Humpback_whale,Megaptera novaeangliae,25.202161,65.70675181,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
554,Humpback_whale,Megaptera novaeangliae,25.14627295,65.8107036,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
555,Humpback_whale,Megaptera novaeangliae,25.03337907,65.48767062,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
556,Humpback_whale,Megaptera novaeangliae,25.20886757,66.09126165,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
557,Humpback_whale,Megaptera novaeangliae,25.17980578,66.35058224,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
558,Humpback_whale,Megaptera novaeangliae,24.84000639,65.82970554,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
559,Humpback_whale,Megaptera novaeangliae,24.80647355,66.07337747,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
560,Humpback_whale,Megaptera novaeangliae,24.43984789,66.16056284,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
561,Humpback_whale,Megaptera novaeangliae,24.40631505,66.35728881,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
562,Humpback_whale,Megaptera novaeangliae,24.5605661,66.47577149,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
563,Humpback_whale,Megaptera novaeangliae,24.67681326,66.73062104,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
564,Humpback_whale,Megaptera novaeangliae,24.44431893,66.73062104,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
565,Humpback_whale,Megaptera novaeangliae,24.39513744,66.70826581,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
566,Humpback_whale,Megaptera novaeangliae,24.31912968,66.62555149,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
567,Humpback_whale,Megaptera novaeangliae,24.28336133,66.66579089,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
568,Humpback_whale,Megaptera novaeangliae,24.28783237,66.92511148,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
569,Humpback_whale,Megaptera novaeangliae,24.07545775,66.83121954,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
570,Humpback_whale,Megaptera novaeangliae,24.13805238,66.21197986,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
571,Humpback_whale,Megaptera novaeangliae,24.07322223,65.60391778,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
572,Humpback_whale,Megaptera novaeangliae,23.51993045,65.14787123,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
573,Humpback_whale,Megaptera novaeangliae,23.61829343,65.9660724,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
574,Humpback_whale,Megaptera novaeangliae,22.87498226,67.37445147,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
575,Humpback_whale,Megaptera novaeangliae,23.18124882,66.98323506,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
576,Humpback_whale,Megaptera novaeangliae,23.39362344,67.33197654,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
577,Humpback_whale,Megaptera novaeangliae,23.67082821,67.35433177,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
578,Humpback_whale,Megaptera novaeangliae,23.71106761,67.66506937,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
579,Humpback_whale,Megaptera novaeangliae,23.64623746,66.88934312,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
580,Humpback_whale,Megaptera novaeangliae,23.69989,67.02123894,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
581,Humpback_whale,Megaptera novaeangliae,23.60599806,66.77533148,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
582,Humpback_whale,Megaptera novaeangliae,22.29598197,65.41166286,,Multiple,Ibrahim et al 2021,,Humpback_whale,Publication
583,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.39448579,66.52785218,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
584,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.40789892,66.53455874,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
585,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.42075317,66.54126531,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
586,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.4313719,66.55076628,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
587,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.45260937,66.55467844,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
588,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.47552347,66.54685412,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
589,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.46043369,66.54797188,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
590,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.44087287,66.54294195,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
591,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.47496459,66.55691397,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
592,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.48949548,66.53679427,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
593,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.48446556,66.54908964,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
594,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.49676093,66.52785218,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
595,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.50011422,66.46134539,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
596,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.50402638,66.45128554,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
597,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.49787869,66.43899016,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
598,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.50905631,66.42278263,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
599,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.5062619,66.43563688,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
600,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.51520399,66.41104613,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
601,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.50011422,66.42390039,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
602,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.52135168,66.40322181,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
603,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.52749936,66.39595636,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
604,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.53420593,66.38533763,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
605,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.53420593,66.37416002,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
606,Indian_Ocean_Humpback_dolphin,Sousa plumbea,25.38051377,66.5155568,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
607,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.61372961,67.01016612,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
608,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.72550573,67.02749142,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
609,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.7405955,67.17391813,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
610,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.77971714,67.23763052,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
611,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.69867946,67.18677238,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
612,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.69197289,67.21918746,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
613,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.72885901,67.23595387,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
614,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.67464759,67.26445678,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
615,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.63887924,67.31363828,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
616,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.61931842,67.29463634,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
617,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.59919872,67.27451663,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
618,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.59305103,67.2381894,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
619,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.59193327,67.21583417,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
620,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.58578558,67.2035388,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
621,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.5997576,67.19683223,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
622,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.60590528,67.21136313,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
623,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.58746222,67.30022514,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
624,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.53492745,67.26781007,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
625,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.43153454,67.30078402,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
626,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.36111559,67.28792977,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
627,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.36279223,67.33152245,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
628,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.35888007,67.35052439,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
629,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.33596596,67.42597327,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
630,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.32255283,67.43435648,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
631,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.30858081,67.44665185,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
632,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.30578641,67.37511514,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
633,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.28119566,67.35667208,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
634,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.26498813,67.34325895,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
635,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.26051708,67.30525507,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
636,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.23760298,67.37455626,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
637,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.24542731,67.40138253,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
638,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.21021783,67.45559394,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
639,Indian_Ocean_Humpback_dolphin,Sousa plumbea,23.94251403,67.56457566,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
640,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14929985,67.45447618,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
641,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.16383074,67.4539173,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
642,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14426992,67.42485551,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
643,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.12079694,67.43435648,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
644,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14594656,67.40417693,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
645,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14594656,67.39523484,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
646,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14706432,67.38405723,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
647,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14762321,67.3762329,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
648,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14874097,67.36617305,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
649,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.14985873,67.35108327,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
650,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.18450932,67.32705141,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
651,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.11744365,67.35778984,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
652,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.07888089,67.43770977,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
653,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.07720425,67.42038447,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
654,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.07999865,67.39691148,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
655,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.05987895,67.38070395,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
656,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.04087701,67.37287962,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
657,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.03417045,67.38796939,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
658,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.02355172,67.40026477,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
659,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.01405075,67.41423678,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
660,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.01349187,67.42653215,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
661,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.01572739,67.44609297,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
662,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.00902082,67.45503506,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
663,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.02746388,67.47683141,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
664,Indian_Ocean_Humpback_dolphin,Sousa plumbea,24.04255366,67.45782947,,Multiple,Ibrahim et al 2021,,Humpback_dolphin,Publication
665,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,23.89326268,67.14349407,,Multiple,Ibrahim et al 2021,,Bottlenose_dolphin,Publication
666,Killer_whale,Orcinus orca,24.56168386,66.16433529,,Multiple,Ibrahim et al 2021,,Killer_whale,Publication
667,Sperm_whale,Physeter macrocephalus,23.91897119,65.69780972,,Multiple,Ibrahim et al 2021,,Sperm_whale,Publication
668,Sperm_whale,Physeter macrocephalus,24.7360546,61.80800086,,Multiple,Ibrahim et al 2021,,Sperm_whale,Publication
669,Sperm_whale,Physeter macrocephalus,24.20120588,64.72703415,,Multiple,Ibrahim et al 2021,,Sperm_whale,Publication
670,Sperm_whale,Physeter macrocephalus,24.76930799,64.96078595,,Multiple,Ibrahim et al 2021,,Sperm_whale,Publication
671,Sperm_whale,Physeter macrocephalus,25.12279996,65.51268053,,Multiple,Ibrahim et al 2021,,Sperm_whale,Publication
672,Sperm_whale,Physeter macrocephalus,25.06579414,65.75970574,,Multiple,Ibrahim et al 2021,,Sperm_whale,Publication
673,Blue_whale,,5.859257446,80.43557095,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
674,Blue_whale,,5.859911948,80.44407948,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
675,Blue_whale,,5.853366925,80.45553327,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
676,Blue_whale,,5.840931382,80.46567805,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
677,Blue_whale,,5.837986121,80.45946028,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
678,Blue_whale,,5.840604131,80.44702474,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
679,Blue_whale,,5.847803656,80.44047971,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
680,Blue_whale,,5.839295126,80.43917071,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
681,Blue_whale,,5.83471361,80.43033493,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
682,Blue_whale,,5.837986121,80.4218264,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
683,Blue_whale,,5.841258633,80.53538255,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
684,Blue_whale,,5.840931382,80.53963681,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
685,Blue_whale,,5.790534706,80.49578516,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
686,Blue_whale,,5.807224514,80.46895056,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
687,Blue_whale,,5.796097975,80.54258207,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
688,Blue_whale,,5.905727108,80.49316715,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
689,Blue_whale,,5.888382797,80.58479747,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
690,Blue_whale,,5.882819528,80.60999581,,2008-2009,Ilangakoon 2012,,Blue_whale,Publication
691,Common_Bottlenose_dolphin,,5.919471656,80.44277047,,2008-2009,Ilangakoon 2012,,Bottlenose_dolphin,Publication
692,Common_Bottlenose_dolphin,,5.79184371,80.51574748,,2008-2009,Ilangakoon 2012,,Bottlenose_dolphin,Publication
693,Bryde's_whale,,5.824896749,80.58031268,,2008-2009,Ilangakoon 2012,,Bryde's_whale,Publication
695,Sperm_whale,,5.833077354,80.27881765,,2008-2009,Ilangakoon 2012,,Sperm_whale,Publication
696,Spinner_dolphin,,5.835368112,80.32168755,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
697,Spinner_dolphin,,5.858930194,80.37633849,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
698,Spinner_dolphin,,5.861548204,80.41593588,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
699,Spinner_dolphin,,5.883801281,80.44407948,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
700,Spinner_dolphin,,5.876274505,80.44866099,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
701,Spinner_dolphin,,5.879874268,80.5082207,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
702,Spinner_dolphin,,5.881510523,80.50331193,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
703,Spinner_dolphin,,5.86351171,80.49022189,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
704,Spinner_dolphin,,5.871038487,80.48564037,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
705,Spinner_dolphin,,5.859911948,80.50723895,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
706,Spinner_dolphin,,5.855984934,80.53505529,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
707,Spinner_dolphin,,5.86351171,80.44898824,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
708,Spinner_dolphin,,5.856639436,80.58185221,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
709,Spinner_dolphin,,5.868420478,80.57661619,,2008-2009,Ilangakoon 2012,,Spinner_dolphin,Publication
710,Common_Bottlenose_dolphin,Tursiops truncatus,11.55354039,90.66520285,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
711,Common_Bottlenose_dolphin,Tursiops truncatus,11.08361191,89.42324902,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
712,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,10.16801636,91.53931018,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
713,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,10.47038228,92.28148108,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
714,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,10.31232736,91.89665173,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
715,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,3.122763629,100.9813217,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
716,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,6.626274578,99.24941117,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
717,Indo-Pacific_Bottlenose_dolphin,Tursiops aduncus ,9.32026429,95.19345543,11,2012,Ilangakoon&Alling 2016,,Bottlenose_dolphin,Publication
718,Irrawaddy_dolphin,Orcaella brevirostris,3.303035875,101.2307793,11,2012,Ilangakoon&Alling 2016,,Irrawaddy_dolphin,Publication
719,Long-beaked_Common_dolphin,Delphinus delphis,8.846089004,84.27592653,11,2012,Ilangakoon&Alling 2016,,Long-beaked_Common_dolphin,Publication
